Training Fraction,Training AUC,Test AUC
0.2,1.0,0.9971212149460664
0.4,1.0,0.9974918809177468
0.6,1.0,0.9980292854215912
0.8,1.0,0.9981843549010485
1.0,1.0,0.998315425138961
